entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-05-20 17:30:00+00:00,2026-05-20 19:35:00+00:00,LONG,65426.74,65419.25,25,-0.0114,-0.1514
2026-05-20 21:00:00+00:00,2026-05-20 21:10:00+00:00,SHORT,65111.43,65459.17,2,-0.5341,-0.6741
2026-05-21 00:25:00+00:00,2026-05-21 01:15:00+00:00,SHORT,64399.94,64702.0,10,-0.469,-0.609
2026-05-21 02:10:00+00:00,2026-05-21 02:30:00+00:00,SHORT,64237.17,64576.24,4,-0.5278,-0.6678
2026-05-21 03:45:00+00:00,2026-05-21 04:05:00+00:00,SHORT,63999.45,64447.59,4,-0.7002,-0.8402
2026-05-21 04:25:00+00:00,2026-05-21 04:55:00+00:00,SHORT,63913.31,64318.36,6,-0.6337,-0.7737
2026-05-21 05:30:00+00:00,2026-05-21 06:00:00+00:00,SHORT,63786.8,64321.96,6,-0.839,-0.979
2026-05-21 06:25:00+00:00,2026-05-21 08:10:00+00:00,LONG,64780.71,64698.26,21,-0.1273,-0.2673
2026-05-21 10:50:00+00:00,2026-05-21 11:40:00+00:00,SHORT,64032.21,63994.87,10,0.0583,-0.0817
2026-05-21 13:45:00+00:00,2026-05-21 14:45:00+00:00,LONG,64222.36,64234.31,12,0.0186,-0.1214
2026-05-21 15:50:00+00:00,2026-05-21 16:40:00+00:00,SHORT,63734.7,63969.88,10,-0.369,-0.509
2026-05-21 17:00:00+00:00,2026-05-21 18:55:00+00:00,LONG,64778.93,64961.97,23,0.2826,0.1426
2026-05-21 20:00:00+00:00,2026-05-21 20:15:00+00:00,SHORT,64622.66,65053.25,3,-0.6663,-0.8063
2026-05-21 22:05:00+00:00,2026-05-21 23:00:00+00:00,LONG,65875.55,65678.19,11,-0.2996,-0.4396
2026-05-22 01:10:00+00:00,2026-05-22 01:55:00+00:00,SHORT,64883.22,65100.27,9,-0.3345,-0.4745
2026-05-22 03:05:00+00:00,2026-05-22 04:20:00+00:00,SHORT,64293.09,64348.45,15,-0.0861,-0.2261
2026-05-22 04:45:00+00:00,2026-05-22 05:35:00+00:00,LONG,65087.79,64542.01,10,-0.8385,-0.9785
2026-05-22 09:00:00+00:00,2026-05-22 10:10:00+00:00,SHORT,64240.06,64619.75,14,-0.591,-0.731
2026-05-22 12:00:00+00:00,2026-05-22 13:05:00+00:00,SHORT,64057.58,64480.93,13,-0.6609,-0.8009
2026-05-22 14:55:00+00:00,2026-05-22 15:05:00+00:00,SHORT,63436.99,63842.83,2,-0.6398,-0.7798
2026-05-22 15:35:00+00:00,2026-05-22 16:20:00+00:00,SHORT,63088.03,63618.56,9,-0.8409,-0.9809
2026-05-22 16:55:00+00:00,2026-05-22 17:35:00+00:00,SHORT,62901.12,63165.8,8,-0.4208,-0.5608
2026-05-22 18:15:00+00:00,2026-05-22 19:15:00+00:00,SHORT,62389.5,62686.44,12,-0.476,-0.616
2026-05-22 19:25:00+00:00,2026-05-22 19:35:00+00:00,SHORT,62154.62,62796.0,2,-1.0319,-1.1719
2026-05-22 22:30:00+00:00,2026-05-22 23:30:00+00:00,SHORT,61791.04,61912.99,12,-0.1974,-0.3374
2026-05-23 02:35:00+00:00,2026-05-23 04:25:00+00:00,SHORT,60913.54,60497.8,22,0.6825,0.5425
2026-05-23 04:35:00+00:00,2026-05-23 05:10:00+00:00,SHORT,59923.33,60240.26,7,-0.5289,-0.6689
2026-05-23 06:15:00+00:00,2026-05-23 08:50:00+00:00,LONG,60828.36,61645.41,31,1.3432,1.2032
2026-05-23 11:20:00+00:00,2026-05-23 13:00:00+00:00,SHORT,60916.91,60631.26,20,0.4689,0.3289
2026-05-23 13:45:00+00:00,2026-05-23 14:45:00+00:00,LONG,61609.41,61222.96,12,-0.6273,-0.7673
2026-05-23 15:50:00+00:00,2026-05-23 18:25:00+00:00,SHORT,60614.39,59448.6,31,1.9233,1.7833
2026-05-23 20:45:00+00:00,2026-05-23 22:05:00+00:00,LONG,60053.37,59806.75,16,-0.4107,-0.5507
2026-05-24 01:45:00+00:00,2026-05-24 02:10:00+00:00,LONG,60207.29,60395.17,5,0.3121,0.1721
