,vwap_pullback,ema_breakout,rsi_mean_reversion
2026-03-31 17:00:00+00:00,1.0,1.0,1.0
2026-03-31 17:05:00+00:00,1.0,1.0,1.0
2026-03-31 17:10:00+00:00,1.0,1.0,1.0
2026-03-31 17:15:00+00:00,1.0,1.0,1.0
2026-03-31 17:20:00+00:00,1.0,1.0,1.0
2026-03-31 17:25:00+00:00,1.0,1.0,1.0
2026-03-31 17:30:00+00:00,1.0,1.0,1.0
2026-03-31 17:35:00+00:00,1.0,1.0,1.0
2026-03-31 17:40:00+00:00,1.0,1.0,1.0
2026-03-31 17:45:00+00:00,1.0,1.0,1.0
2026-03-31 17:50:00+00:00,1.0,1.0,1.0
2026-03-31 17:55:00+00:00,1.0,1.0,1.0
2026-03-31 18:00:00+00:00,1.0,1.0,1.0
2026-03-31 18:05:00+00:00,1.0,1.0,1.0
2026-03-31 18:10:00+00:00,1.0,1.0,1.0
2026-03-31 18:15:00+00:00,1.0,1.0,1.0
2026-03-31 18:20:00+00:00,1.0,1.0,1.0
2026-03-31 18:25:00+00:00,1.0,1.0,1.0
2026-03-31 18:30:00+00:00,1.0,1.0,1.0
2026-03-31 18:35:00+00:00,1.0,1.0,1.0
2026-03-31 18:40:00+00:00,1.0,1.0,1.0
2026-03-31 18:45:00+00:00,1.0,1.0,1.0
2026-03-31 18:50:00+00:00,1.0,1.0,1.0
2026-03-31 18:55:00+00:00,1.0,1.0,1.0
2026-03-31 19:00:00+00:00,1.0,1.0,1.0
2026-03-31 19:05:00+00:00,1.0,1.0,1.0
2026-03-31 19:10:00+00:00,1.0,1.0,1.0
2026-03-31 19:15:00+00:00,1.0,1.0,1.0
2026-03-31 19:20:00+00:00,1.0,0.9986946855835726,1.0
2026-03-31 19:25:00+00:00,1.0,1.0003751515683488,1.0
2026-03-31 19:30:00+00:00,1.0,1.0001359463674744,1.0
2026-03-31 19:35:00+00:00,1.0,0.999424000715996,1.0
2026-03-31 19:40:00+00:00,1.0,0.9984124360177945,1.0
2026-03-31 19:45:00+00:00,1.0,0.9996044262395443,1.0
2026-03-31 19:50:00+00:00,1.0,0.9972339439343018,1.0
2026-03-31 19:55:00+00:00,1.0,0.9962391650623685,1.0
2026-04-01 13:30:00+00:00,1.0,0.9955417976468248,1.0
2026-04-01 13:35:00+00:00,1.0,0.9955417976468248,1.0
2026-04-01 13:40:00+00:00,1.0,0.9955417976468248,1.0
2026-04-01 13:45:00+00:00,1.0,0.9955417976468248,1.0
2026-04-01 13:50:00+00:00,1.0,0.9955417976468248,1.0
2026-04-01 13:55:00+00:00,1.0,0.9955417976468248,1.0
2026-04-01 14:00:00+00:00,1.0,0.9933711652959963,1.0
2026-04-01 14:05:00+00:00,1.0,0.9925093423511352,1.0
2026-04-01 14:10:00+00:00,1.0,0.9928881021841907,1.0
2026-04-01 14:15:00+00:00,1.0,0.9917641572951609,1.0
2026-04-01 14:20:00+00:00,1.0,0.9915310832663904,1.0
2026-04-01 14:25:00+00:00,1.0,0.9902194046783468,1.0
2026-04-01 14:30:00+00:00,1.0,0.9935514997505513,1.0
2026-04-01 14:35:00+00:00,1.0,0.992253928790763,1.0
2026-04-01 14:40:00+00:00,1.0,0.989404033071622,1.0
2026-04-01 14:45:00+00:00,0.9979046695676189,0.9887114502484717,1.0
2026-04-01 14:50:00+00:00,0.9972061362989215,0.9887114502484717,1.0
2026-04-01 14:55:00+00:00,0.9972061362989215,0.9887114502484717,1.0
2026-04-01 15:00:00+00:00,0.9972061362989215,0.9887114502484717,1.0
2026-04-01 15:05:00+00:00,0.9972061362989215,0.9887114502484717,1.0
2026-04-01 15:10:00+00:00,0.9972061362989215,0.9887114502484717,1.0
2026-04-01 15:15:00+00:00,0.9972061362989215,0.9887114502484717,1.0
2026-04-01 15:20:00+00:00,1.0040891708338828,0.9887114502484717,1.0
2026-04-01 15:25:00+00:00,1.0055025256852477,0.9894110614214848,1.0
2026-04-01 15:30:00+00:00,1.0030090204920803,0.9869574608020827,1.0
2026-04-01 15:35:00+00:00,1.0066036353554626,0.99049454958757,1.0
2026-04-01 15:40:00+00:00,1.0061994587960246,0.990096841229351,1.0
2026-04-01 15:45:00+00:00,1.0082672170412363,0.9921315083016827,1.0
2026-04-01 15:50:00+00:00,1.009276800921794,0.9931249354024013,1.0
2026-04-01 15:55:00+00:00,1.012595920875463,0.9963909381348227,1.0
2026-04-01 16:00:00+00:00,1.0102238627344928,0.9940568410012415,1.0
2026-04-01 16:05:00+00:00,1.0126356036818858,0.9964299858812183,1.0
2026-04-01 16:10:00+00:00,1.0131063806423017,0.9968932288072175,1.0
2026-04-01 16:15:00+00:00,1.012557671307366,0.9963533006900597,1.0
2026-04-01 16:20:00+00:00,1.0109170608207927,0.9947389455577406,1.0
2026-04-01 16:25:00+00:00,1.0095739441334488,0.9934173233108623,1.0
2026-04-01 16:30:00+00:00,1.0090210114289555,0.992873239412441,1.0
2026-04-01 16:35:00+00:00,1.0083616183992745,0.9922243989165447,1.0
2026-04-01 16:40:00+00:00,1.0088916855510541,0.9927459831889558,1.0
