timestamp,vwap_pullback,ema_breakout,rsi_mean_reversion
2026-05-20 14:55:00+00:00,1.0,1.0,1.0
2026-05-20 15:00:00+00:00,1.0,1.0,1.0
2026-05-20 15:05:00+00:00,1.0,1.0,1.0
2026-05-20 15:10:00+00:00,1.0,1.0,1.0
2026-05-20 15:15:00+00:00,1.0,1.0,1.0
2026-05-20 15:20:00+00:00,1.0,1.0,1.0
2026-05-20 15:25:00+00:00,1.0,1.0,1.0
2026-05-20 15:30:00+00:00,1.0,1.0,1.0
2026-05-20 15:35:00+00:00,1.0,1.0,1.0
2026-05-20 15:40:00+00:00,1.0,1.0,1.0
2026-05-20 15:45:00+00:00,1.0,1.0,1.0
2026-05-20 15:50:00+00:00,1.0,1.0,1.0
2026-05-20 15:55:00+00:00,1.0,1.0,1.0
2026-05-20 16:00:00+00:00,1.0,1.0,1.0
2026-05-20 16:05:00+00:00,1.0,1.0,1.0
2026-05-20 16:10:00+00:00,1.0,1.0,1.0
2026-05-20 16:15:00+00:00,1.0,1.0,1.0
2026-05-20 16:20:00+00:00,1.0,1.0,1.0
2026-05-20 16:25:00+00:00,1.0,1.0,1.0
2026-05-20 16:30:00+00:00,1.0,1.0,1.0
2026-05-20 16:35:00+00:00,1.0,1.0,1.0
2026-05-20 16:40:00+00:00,1.0,1.0,1.0
2026-05-20 16:45:00+00:00,1.0,1.0,1.0
2026-05-20 16:50:00+00:00,1.0,1.0,1.0
2026-05-20 16:55:00+00:00,1.0,1.0,1.0
2026-05-20 17:00:00+00:00,1.0,1.0,1.0
2026-05-20 17:05:00+00:00,1.0,1.0,1.0
2026-05-20 17:10:00+00:00,1.0,1.0,1.0
2026-05-20 17:15:00+00:00,1.0,1.0,1.0
2026-05-20 17:20:00+00:00,1.0,1.0,1.0
2026-05-20 17:25:00+00:00,1.0,1.0,1.0
2026-05-20 17:30:00+00:00,1.0,0.9982981715049606,1.0
2026-05-20 17:35:00+00:00,1.0,0.9970376635340995,1.0
2026-05-20 17:40:00+00:00,1.0,0.9950381549397997,1.0
2026-05-20 17:45:00+00:00,1.0,0.9965521321070265,1.0
2026-05-20 17:50:00+00:00,1.0,0.999332548952293,1.0
2026-05-20 17:55:00+00:00,1.0,0.9990520923285651,1.0
2026-05-20 18:00:00+00:00,1.0,0.9969836377296412,1.0
2026-05-20 18:05:00+00:00,1.0,0.9949579477646802,1.0
2026-05-20 18:10:00+00:00,1.0,0.9965569117393867,1.0
2026-05-20 18:15:00+00:00,1.0,0.9983866871778779,1.0
2026-05-20 18:20:00+00:00,1.0,0.9997261003104702,1.0
2026-05-20 18:25:00+00:00,1.0,0.9980862640155131,1.0
2026-05-20 18:30:00+00:00,1.0,0.9986586516145846,1.0
2026-05-20 18:35:00+00:00,1.0,0.998946697664806,1.0
2026-05-20 18:40:00+00:00,1.0,0.999486352034553,1.0
2026-05-20 18:45:00+00:00,1.0,1.0016382379062605,1.0
2026-05-20 18:50:00+00:00,1.0,1.002191480398722,1.0
2026-05-20 18:55:00+00:00,1.0,1.0038722172114039,1.0
2026-05-20 19:00:00+00:00,1.0,1.0040401019914678,1.0
2026-05-20 19:05:00+00:00,1.0,1.0047571035368368,1.0
2026-05-20 19:10:00+00:00,1.0,1.0063238801174768,1.0
2026-05-20 19:15:00+00:00,1.0,1.0027126661413035,1.0
2026-05-20 19:20:00+00:00,1.0,1.0019225440365183,1.0
2026-05-20 19:25:00+00:00,1.0,1.000760845057171,1.0
2026-05-20 19:30:00+00:00,1.0,0.9991849683919231,1.0
2026-05-20 19:35:00+00:00,1.0,0.9984855389140487,1.0
2026-05-20 19:40:00+00:00,1.0,0.9984855389140487,1.0
